epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,236.796,1.26296,1.45812,1.42904,0.59538,0.54649,0.58288,0.31959,1.71831,1.63327,1.82613,0.000742625,0.000742625,0.000742625
43,242.393,1.3036,1.47191,1.43972,0.57943,0.54481,0.56035,0.33026,1.66335,1.76596,1.80804,0.00073025,0.00073025,0.00073025
44,247.916,1.27432,1.43075,1.41011,0.53087,0.61764,0.57926,0.34466,1.61763,1.6823,1.8184,0.000717875,0.000717875,0.000717875
45,253.488,1.23562,1.43108,1.427,0.61973,0.60322,0.56909,0.32929,1.6201,1.60244,1.79413,0.0007055,0.0007055,0.0007055
46,259.048,1.24357,1.4156,1.41277,0.56083,0.60481,0.57279,0.33587,1.62276,1.61322,1.77399,0.000693125,0.000693125,0.000693125
47,264.541,1.19949,1.39089,1.39376,0.61484,0.54508,0.56273,0.33805,1.63358,1.63535,1.81085,0.00068075,0.00068075,0.00068075
48,270.108,1.22652,1.38532,1.41181,0.63189,0.58519,0.57771,0.35591,1.60729,1.60677,1.77258,0.000668375,0.000668375,0.000668375
49,275.748,1.23514,1.4064,1.39383,0.63538,0.58862,0.57425,0.35141,1.58112,1.66783,1.73751,0.000656,0.000656,0.000656
50,281.315,1.21109,1.37797,1.37944,0.62398,0.58426,0.56228,0.31938,1.58669,1.74534,1.70658,0.000643625,0.000643625,0.000643625
51,286.936,1.19827,1.34522,1.37167,0.50186,0.52541,0.48403,0.27668,1.59652,1.92905,1.74277,0.00063125,0.00063125,0.00063125
52,292.539,1.21113,1.36792,1.37947,0.62039,0.55411,0.55464,0.32224,1.61597,1.71448,1.76059,0.000618875,0.000618875,0.000618875
53,298.022,1.19471,1.34993,1.38859,0.67241,0.58861,0.60539,0.34526,1.62886,1.63942,1.76096,0.0006065,0.0006065,0.0006065
54,303.511,1.18548,1.29527,1.37434,0.70447,0.58999,0.59725,0.36384,1.57942,1.60652,1.74421,0.000594125,0.000594125,0.000594125
55,309.113,1.14351,1.32113,1.33935,0.63948,0.57842,0.56478,0.34552,1.58045,1.61169,1.74754,0.00058175,0.00058175,0.00058175
56,314.664,1.17062,1.27905,1.34379,0.57139,0.61872,0.58584,0.34384,1.593,1.57122,1.72128,0.000569375,0.000569375,0.000569375
57,320.084,1.14725,1.2466,1.3313,0.69173,0.56444,0.59329,0.36228,1.55465,1.55539,1.7042,0.000557,0.000557,0.000557
58,325.589,1.09362,1.21106,1.29386,0.62875,0.61103,0.62236,0.37577,1.58605,1.55255,1.69958,0.000544625,0.000544625,0.000544625
59,331.127,1.11886,1.27639,1.33642,0.71084,0.56796,0.61835,0.37245,1.6245,1.54572,1.72893,0.00053225,0.00053225,0.00053225
60,336.591,1.14309,1.2858,1.3512,0.66715,0.57739,0.58887,0.3435,1.60228,1.62846,1.73704,0.000519875,0.000519875,0.000519875
61,342.059,1.18893,1.32176,1.36965,0.57168,0.62143,0.58081,0.33663,1.62039,1.61375,1.74461,0.0005075,0.0005075,0.0005075
62,347.539,1.10582,1.22793,1.32906,0.62807,0.63266,0.61507,0.37898,1.57948,1.51198,1.72833,0.000495125,0.000495125,0.000495125
63,353.107,1.11209,1.18602,1.32976,0.62115,0.58783,0.59295,0.37374,1.52261,1.55322,1.67858,0.00048275,0.00048275,0.00048275
64,358.689,1.11582,1.21267,1.32903,0.63128,0.59174,0.59016,0.36793,1.61302,1.59063,1.74042,0.000470375,0.000470375,0.000470375
65,364.219,1.06408,1.20364,1.28788,0.62346,0.59964,0.59009,0.36459,1.58614,1.57196,1.71556,0.000458,0.000458,0.000458
66,369.821,1.08592,1.20446,1.29043,0.66573,0.59437,0.60112,0.37193,1.53136,1.50078,1.69808,0.000445625,0.000445625,0.000445625
67,375.333,1.09625,1.19116,1.3053,0.6408,0.61082,0.60975,0.37974,1.50451,1.48039,1.67624,0.00043325,0.00043325,0.00043325
68,380.945,1.07263,1.19537,1.30891,0.60796,0.63354,0.61481,0.38853,1.49918,1.54521,1.65081,0.000420875,0.000420875,0.000420875
69,386.496,1.03336,1.11885,1.27097,0.66158,0.63039,0.61967,0.39531,1.50817,1.59727,1.64113,0.0004085,0.0004085,0.0004085
70,392.934,1.04409,1.15259,1.28,0.67714,0.60726,0.61377,0.38419,1.51155,1.48318,1.64203,0.000396125,0.000396125,0.000396125
71,398.434,1.06762,1.14496,1.29315,0.66423,0.58944,0.58801,0.36421,1.51794,1.46349,1.67149,0.00038375,0.00038375,0.00038375
72,403.917,1.01481,1.1504,1.28661,0.73846,0.5767,0.60556,0.39123,1.51266,1.46208,1.69329,0.000371375,0.000371375,0.000371375
73,409.357,1.05559,1.14964,1.27973,0.68885,0.61922,0.62805,0.4014,1.49024,1.40134,1.69362,0.000359,0.000359,0.000359
74,414.891,1.05146,1.12264,1.2712,0.70495,0.58942,0.61152,0.39261,1.49171,1.46446,1.66344,0.000346625,0.000346625,0.000346625
75,420.39,0.98163,1.07779,1.24904,0.66049,0.6294,0.60478,0.38065,1.56127,1.44668,1.71189,0.00033425,0.00033425,0.00033425
76,425.844,1.0232,1.09438,1.28469,0.67778,0.59423,0.61118,0.39004,1.53421,1.46493,1.71672,0.000321875,0.000321875,0.000321875
77,431.299,1.01993,1.07581,1.25248,0.68883,0.61425,0.62924,0.40686,1.47598,1.45029,1.67045,0.0003095,0.0003095,0.0003095
78,436.883,1.0117,1.07916,1.26159,0.66665,0.62153,0.6276,0.40228,1.4749,1.47433,1.66523,0.000297125,0.000297125,0.000297125
79,442.337,0.98953,1.03158,1.25824,0.61178,0.67371,0.6277,0.39742,1.4974,1.49222,1.68769,0.00028475,0.00028475,0.00028475
80,447.788,1.00648,1.074,1.26583,0.65868,0.65219,0.63594,0.41369,1.48743,1.45082,1.68387,0.000272375,0.000272375,0.000272375
81,453.273,0.99055,1.05464,1.22227,0.66481,0.62029,0.63127,0.41158,1.45988,1.39878,1.66232,0.00026,0.00026,0.00026
82,458.741,0.95827,1.03972,1.24442,0.64834,0.64332,0.62784,0.41053,1.49069,1.40569,1.67916,0.000247625,0.000247625,0.000247625
83,464.216,0.98326,1.08682,1.24763,0.62461,0.67131,0.61996,0.41025,1.51116,1.44311,1.6855,0.00023525,0.00023525,0.00023525
84,469.666,0.99222,1.04386,1.24828,0.6206,0.62684,0.60581,0.39393,1.50311,1.42779,1.6839,0.000222875,0.000222875,0.000222875
85,475.131,0.97923,1.00756,1.23132,0.59429,0.68637,0.62026,0.40665,1.50294,1.41324,1.69479,0.0002105,0.0002105,0.0002105
86,480.65,0.97579,1.0431,1.23672,0.63061,0.67996,0.64276,0.41466,1.52042,1.41384,1.70632,0.000198125,0.000198125,0.000198125
87,486.185,0.97991,1.05182,1.23555,0.64653,0.65892,0.63164,0.41563,1.50086,1.41046,1.68852,0.00018575,0.00018575,0.00018575
88,491.779,0.96495,1.0283,1.24999,0.67986,0.64135,0.63673,0.41905,1.47831,1.44197,1.67207,0.000173375,0.000173375,0.000173375
89,497.288,0.92996,0.9872,1.21935,0.68547,0.62602,0.61812,0.40037,1.46641,1.46473,1.67212,0.000161,0.000161,0.000161
90,502.787,0.95334,0.97464,1.2245,0.71698,0.63765,0.62215,0.40813,1.45498,1.44857,1.67569,0.000148625,0.000148625,0.000148625
91,509.536,0.89691,0.93189,1.21609,0.63749,0.6455,0.61086,0.39695,1.49799,1.46236,1.70516,0.00013625,0.00013625,0.00013625
92,514.997,0.84346,0.83634,1.15594,0.62869,0.65419,0.61996,0.40377,1.49964,1.47714,1.68613,0.000123875,0.000123875,0.000123875
93,520.389,0.85161,0.84375,1.18899,0.65579,0.64686,0.62197,0.41083,1.50486,1.41437,1.70543,0.0001115,0.0001115,0.0001115
94,525.836,0.85709,0.80837,1.15866,0.63862,0.66331,0.61975,0.40911,1.47279,1.36465,1.6778,9.9125e-05,9.9125e-05,9.9125e-05
95,531.283,0.84034,0.77826,1.14707,0.65466,0.67464,0.6281,0.40502,1.46801,1.34152,1.68389,8.675e-05,8.675e-05,8.675e-05
96,536.77,0.85337,0.79337,1.16166,0.65331,0.67783,0.62901,0.41031,1.45424,1.33351,1.66258,7.4375e-05,7.4375e-05,7.4375e-05
97,542.221,0.81873,0.75644,1.14275,0.65739,0.65787,0.6265,0.40666,1.45474,1.33341,1.66026,6.2e-05,6.2e-05,6.2e-05
98,547.659,0.78631,0.73995,1.1382,0.64273,0.66039,0.61982,0.40741,1.46054,1.34263,1.66898,4.9625e-05,4.9625e-05,4.9625e-05
99,553.111,0.82089,0.78086,1.16988,0.64901,0.66952,0.62302,0.40044,1.46118,1.34428,1.66922,3.725e-05,3.725e-05,3.725e-05
100,558.575,0.77892,0.74641,1.12422,0.63636,0.67742,0.6237,0.40437,1.46451,1.34597,1.67631,2.4875e-05,2.4875e-05,2.4875e-05
